,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
544,1584003840000,2020-03-12 09:04:00,ETHUSD,168.95,168.95,168.68,168.69,15.719
545,1584003900000,2020-03-12 09:05:00,ETHUSD,168.69,168.9,168.69,168.69,73.26
546,1584003960000,2020-03-12 09:06:00,ETHUSD,168.69,168.69,168.69,168.69,0.05928
547,1584004020000,2020-03-12 09:07:00,ETHUSD,168.69,168.69,168.69,168.69,0.0
548,1584004080000,2020-03-12 09:08:00,ETHUSD,168.69,169.76,168.69,169.76,28.0
549,1584004140000,2020-03-12 09:09:00,ETHUSD,169.76,169.76,169.76,169.76,0.0
550,1584004200000,2020-03-12 09:10:00,ETHUSD,169.76,169.8,169.45,169.45,17.055787
551,1584004260000,2020-03-12 09:11:00,ETHUSD,169.45,169.45,168.55,168.55,149.31279
552,1584004320000,2020-03-12 09:12:00,ETHUSD,168.55,168.69,168.25,168.26,428.1714
553,1584004380000,2020-03-12 09:13:00,ETHUSD,168.26,168.69,166.47,166.47,600.0
554,1584004440000,2020-03-12 09:14:00,ETHUSD,166.47,168.05,166.47,166.99,102.818036
555,1584004500000,2020-03-12 09:15:00,ETHUSD,166.99,168.67,166.99,168.67,360.042544
556,1584004560000,2020-03-12 09:16:00,ETHUSD,168.67,168.67,167.78,167.78,37.987628
557,1584004620000,2020-03-12 09:17:00,ETHUSD,167.78,167.78,167.61,167.61,51.499914
558,1584004680000,2020-03-12 09:18:00,ETHUSD,167.61,167.76,167.03,167.58,200.391541
559,1584004740000,2020-03-12 09:19:00,ETHUSD,167.58,167.58,167.09,167.34,141.759989
560,1584004800000,2020-03-12 09:20:00,ETHUSD,167.34,167.98,167.29,167.98,93.863062
561,1584004860000,2020-03-12 09:21:00,ETHUSD,167.98,167.98,167.98,167.98,0.0
562,1584004920000,2020-03-12 09:22:00,ETHUSD,167.98,168.16,167.98,168.16,3.526
563,1584004980000,2020-03-12 09:23:00,ETHUSD,168.16,168.36,168.16,168.36,7.2113
564,1584005040000,2020-03-12 09:24:00,ETHUSD,168.36,168.99,168.36,168.99,2.0
565,1584005100000,2020-03-12 09:25:00,ETHUSD,168.99,168.99,168.9,168.9,1.0
566,1584005160000,2020-03-12 09:26:00,ETHUSD,168.9,168.9,168.9,168.9,0.0
567,1584005220000,2020-03-12 09:27:00,ETHUSD,168.9,168.9,168.61,168.61,1.0
568,1584005280000,2020-03-12 09:28:00,ETHUSD,168.61,168.61,168.61,168.61,0.0
569,1584005340000,2020-03-12 09:29:00,ETHUSD,168.61,168.89,168.61,168.89,1.0
570,1584005400000,2020-03-12 09:30:00,ETHUSD,168.89,168.89,168.89,168.89,0.0
571,1584005460000,2020-03-12 09:31:00,ETHUSD,168.89,168.89,168.67,168.68,19.7618
572,1584005520000,2020-03-12 09:32:00,ETHUSD,168.68,168.68,168.49,168.63,14.300091
573,1584005580000,2020-03-12 09:33:00,ETHUSD,168.63,168.97,168.63,168.97,0.053084
574,1584005640000,2020-03-12 09:34:00,ETHUSD,168.97,168.97,168.97,168.97,0.0
575,1584005700000,2020-03-12 09:35:00,ETHUSD,168.97,168.97,168.97,168.97,0.0
576,1584005760000,2020-03-12 09:36:00,ETHUSD,168.97,168.97,168.97,168.97,0.0
577,1584005820000,2020-03-12 09:37:00,ETHUSD,168.97,168.97,168.5,168.5,5.650786
578,1584005880000,2020-03-12 09:38:00,ETHUSD,168.5,168.5,168.16,168.16,70.000052
